Source,Geography,Race,SES Vulnerability,Cause,Deaths
OASIS,Fulton,Unknown Race,Average,High Blood Pressure (Hypertension),0.0
OASIS,Fulton,Unknown Race,Average,Hypertensive Heart Disease,0.0
OASIS,Fulton,Unknown Race,Average,Hypertensive Heart and Chronic Kidney Disease,0.0
OASIS,Fulton,Unknown Race,Average,Intentional Self-Harm (Suicide),0.0
OASIS,Fulton,Unknown Race,Average,Disorders Related to Drug Use,0.0
OASIS,Fulton,Unknown Race,High,Asthma,0.0
OASIS,Fulton,Unknown Race,High,Birth-Related Infections,0.0
OASIS,Fulton,Unknown Race,High,Bladder Cancer,0.0
OASIS,Fulton,Unknown Race,High,Brain Cancer,0.0
OASIS,Fulton,Unknown Race,High,Breast Cancer,0.0
OASIS,Fulton,Unknown Race,High,Bronchitis,0.0
OASIS,Fulton,Unknown Race,High,Cervical Cancer,0.0
OASIS,Fulton,Unknown Race,High,Colon Cancer,0.0
OASIS,Fulton,Unknown Race,High,Diabetes,0.0
OASIS,Fulton,Unknown Race,Average,Rheumatic Fever and Heart Diseases,0.0
OASIS,Fulton,Unknown Race,High,Drowning,0.0
OASIS,Fulton,Unknown Race,High,Emphysema,0.0
OASIS,Fulton,Unknown Race,High,Falls,0.0
OASIS,Fulton,Unknown Race,High,Fire and Smoke Exposure,0.0
OASIS,Fulton,Unknown Race,High,Flu,0.0
OASIS,Fulton,Unknown Race,High,Hardening of the Arteries,0.0
OASIS,Fulton,Unknown Race,High,High Blood Pressure (Hypertension),0.0
OASIS,Fulton,Unknown Race,High,Hypertensive Heart Disease,0.0
OASIS,Fulton,Unknown Race,High,Hypertensive Heart and Chronic Kidney Disease,0.0
OASIS,Fulton,Unknown Race,High,Intentional Self-Harm (Suicide),0.0
OASIS,Fulton,Unknown Race,High,Disorders Related to Drug Use,0.0
OASIS,Fulton,Unknown Race,Average,Sickle Cell Anemia,0.0
OASIS,Fulton,Unknown Race,Average,Skin Cancer,0.0
OASIS,Fulton,Unknown Race,Average,Stomach Cancer,0.0
OASIS,Fulton,Unknown Race,Average,Stroke,0.0
OASIS,Fulton,Unknown Race,Average,Suffocation,0.0
OASIS,Fulton,Unknown Race,Average,Testicular Cancer,0.0
OASIS,Fulton,Unknown Race,Average,Throat Cancer,0.0
OASIS,Fulton,Unknown Race,Average,Uterine Cancer,0.0
